id|effective|name|location|employees
acb31573-102e-49c1-b96a-0918cdf2b4b5|6/15/12|AAR MOBILITY SYSTEMS|MCCLELLAN AFB|48
e79b9ab0-7ff3-450d-911f-7c76f0c6709b|1/25/12|ABBOTT VASCULAR|MURRIETA|45
e44b9bf8-a76d-4a37-80d0-36f7cb1744b2|10/17/12|ABBOTT VASCULAR|MURRIETA|38
f82f3adf-f072-4b63-a23d-93a16a35df4d|1/25/12|ABBOTT VASCULAR|TEMECULA|247
4bc2fb0e-20e8-46a8-b30f-5b13d2db450c|1/25/12|ABBOTT VASCULAR|TEMECULA|7
9b48732f-a32e-425e-b560-83f2c5993257|10/17/12|ABBOTT VASCULAR|TEMECULA|139
07830c8c-0d8b-42e0-a2e3-9d53ea2a3b55|10/17/12|ABBOTT VASCULAR|TEMECULA|16
8c923d4d-769c-4010-99a2-e6a090fa177a|11/28/12|ABEO MANAGEMENT CORPORATION|LOS ANGELES|42
fb54497d-165e-4127-a718-dd5f80660a1c|1/14/12|ABERCROMBIE & FITCH|ANAHEIM|51
ea716445-4605-463f-8f4f-59a430b07a0b|1/21/12|ABERCROMBIE & FITCH|CAPITOLA|51
0f2a4268-c88d-4ca2-a367-068c52f3b23a|1/14/12|ABERCROMBIE & FITCH|RIVERSIDE|64
add153ff-554c-4710-bbbb-3237b141277d|12/29/12|ABERCROMBIE & FITCH|SAN DIEGO|66
f9887885-a86a-42ea-a027-e2f66337dc5e|3/24/12|ABERCROMBIE & FITCH|SIMI VALLEY|70
d3e55d55-7d34-429a-8e8d-f638955ebd0f|3/24/12|ABERCROMBIE & FITCH|SIMI VALLEY|47
c4c27296-4c12-47cf-857e-d02b170e6932|5/25/12|ADAMS RITE MANUFACTURING COMPANY|PONOMA|110
863981fd-d8f1-4bb8-8f82-217eb91a61f1|1/31/12|ADOBE SYSTEMS INCORPORATED|SAN FRANCISCO|121
98e22b2e-b787-4498-99ba-b55c4ac6743a|1/31/12|ADOBE SYSTEMS INCORPORATED|SAN JOSE|103
c85919b3-b461-409d-ac31-b7af17f4bde4|10/25/12|ADVANCED MICRO DEVICES, INC|SUNNYVALE|107
49984c6d-791b-400b-a7ea-411154700871|1/3/12|ADVANCED MICRO DEVICES, INC.|SUNNYVALE|82
2a4377b9-4b4f-4e5b-ada3-b4d674b60759|11/23/12|AERO-ELECTRIC INC|TORRANCE|23
af034b36-b8f8-4a29-a599-048db25b7c51|3/19/12|AERO-ELECTRIC, INC.|TORRANCE|72
87338619-57db-4704-a1d2-56b0b5435bb2|5/31/12|AEROSPACE CORPORATION|EL SEGUNDO|239
fc776f43-7eb5-4a9a-89c1-b587da171448|5/31/12|AEROSPACE CORPORATION|VANDENBERG AFB|1
4d5f3461-7d0b-4717-9653-2f8a60b8ae0f|1/8/12|AFFYMETRIX, INC|SANTA CLARA|69
